Index,Research areas,Bio,Research interests,Achievements and awards,Full name
luisa-orsini,Time series; Computing networks; Evolution & adaptation; Machine learning; Unsupervised learning; ,Dr Luisa Orsini is a Senior Lecturer/Associate Professor in Biosystems and Environmental Change at the University of Birmingham (UoB); and a time traveller. She studies the processes and mechanisms of evolutionary response to climate and other environmental factors with relevance to climate – pollution; anthropogenic land-use. To reconstruct long-term dynamics she applies high throughput technologies to sedimentary archives of inland waters; which have the unique advantage of preserving biological and environmental signals temporally. Moreover; she applies high throughput technologies to ‘resurrected’ specimens of the keystone species Daphnia magna (waterflea) to identify the molecular mechanisms that enable evolutionary changes through time and space. Dr Orsini strongly believes in bridging the science/policy divide. To this end; she works on biotechnology solutions for the removal of pharmaceuticals; pesticides and other suspended materials from wastewater and surface water.; Human health and well-being are intimately linked to environmental quality. Pollution is the largest environmental cause of disease and death in the world today; responsible for an estimated 9 million premature deaths. Detection and measures in the environment and health area are inadequate because the links between healthy environments and healthy humans are dynamic and complex. First; the variety of species and genes in a given habitat; called biodiversity; is the foundation of healthy ecosystems and of the services they provide; which underpin economic prosperity; social well-being and quality of life.; Biodiversity is declining at 1;000 times the natural rate; which is responsible for the decline of an estimated 60% of the Earth's ecosystem services (ES) over the last 50 years. Second; climate change significantly impacts biodiversity; causing habitat destruction and species loss; as well as shifts in community assembly and ecological structure. However; climate is only one of the factors impacting biodiversity. It is the synergistic action of climate and other environmental factors linked to human activities (e.g. land-use; pollution and species invasion) that ultimately impact biodiversity. Last but not least; biodiversity response to environmental change varies dramatically in space and time. Only by simultaneously investigating environmental change and biodiversity across space and time; the impact of such changes on ES directly linked to human health and wellbeing can be understood. Only by accurately forecasting the impact of loss of biodiversity on ES; can we begin to understand the long-term impact of polluted environments on human health.; As a Turing Fellow; Dr Orsini has the long term goal of improving human health and wellbeing by creating a novel evidence-based framework that enables the identification of actionable targets for ES conservation; and the prioritization of pollutants for mitigation interventions.; ,Human health and well-being are intimately linked to environmental quality. Pollution is the largest environmental cause of disease and death in the world today; responsible for an estimated 9 million premature deaths. Detection and measures in the environment and health area are inadequate because the links between healthy environments and healthy humans are dynamic and complex. First; the variety of species and genes in a given habitat; called biodiversity; is the foundation of healthy ecosystems and of the services they provide; which underpin economic prosperity; social well-being and quality of life.; Biodiversity is declining at 1;000 times the natural rate; which is responsible for the decline of an estimated 60% of the Earth's ecosystem services (ES) over the last 50 years. Second; climate change significantly impacts biodiversity; causing habitat destruction and species loss; as well as shifts in community assembly and ecological structure. However; climate is only one of the factors impacting biodiversity. It is the synergistic action of climate and other environmental factors linked to human activities (e.g. land-use; pollution and species invasion) that ultimately impact biodiversity. Last but not least; biodiversity response to environmental change varies dramatically in space and time. Only by simultaneously investigating environmental change and biodiversity across space and time; the impact of such changes on ES directly linked to human health and wellbeing can be understood. Only by accurately forecasting the impact of loss of biodiversity on ES; can we begin to understand the long-term impact of polluted environments on human health.; As a Turing Fellow; Dr Orsini has the long term goal of improving human health and wellbeing by creating a novel evidence-based framework that enables the identification of actionable targets for ES conservation; and the prioritization of pollutants for mitigation interventions.; ,['N/A'],Dr Luisa Orsini 
magda-osman,Cognitive science; Ethics; Causality; ,Dr Osman is a Reader in Experimental Psychology at Queen Mary University of London. She is also currently seconded part of her time to the Food Standards Agency working in the Science and Evidence Research Division on evidence based policy projects. ; Dr Osman is a decision sciences researcher with a strong background in judgement and decision-making research. Her recent focus is in applying her work to applied areas; particularly in the context of data privacy and the implications that this has for business and public decision-making regarding the rights associated with trading data; and has examined ways to improve the communication of risk and uncertainty (particularly in the domain of risk assessment); ,Dr Osman is a decision sciences researcher with a strong background in judgement and decision-making research. Her recent focus is in applying her work to applied areas; particularly in the context of data privacy and the implications that this has for business and public decision-making regarding the rights associated with trading data; and has examined ways to improve the communication of risk and uncertainty (particularly in the domain of risk assessment); ,['N/A'],Dr Magda Osman 
magnus-rattray,['N/A'],Magnus Rattray is Professor of Computational & Systems Biology at the University of Manchester. He graduated with a BSc in Mathematics & Physics (1992) and PhD in Computer Science (1996) from the University of Manchester. Postdoctoral work on the statistical mechanics theory of neural networks at the Neural Computing Research Group; Aston University; was followed by a Lectureship in Computer Science at the University of Manchester. He was Professor of Machine Learning & Statistical Bioinformatics at Sheffield University before his return to Manchester in 2012 where he is Director of the University of Manchester Data Science Institute.; Magnus uses probabilistic modelling and Bayesian inference techniques to study biological systems across a broad range of temporal and spatial scales; from gene expression in single cells to longitudinal population health data. Recent work includes methods to uncover oscillations from single-cell imaging time course data and the development of scalable Gaussian process models for pseudotime and branching process inference using single-cell RNA-Seq data. ; ,Magnus uses probabilistic modelling and Bayesian inference techniques to study biological systems across a broad range of temporal and spatial scales; from gene expression in single cells to longitudinal population health data. Recent work includes methods to uncover oscillations from single-cell imaging time course data and the development of scalable Gaussian process models for pseudotime and branching process inference using single-cell RNA-Seq data. ; ,['N/A'],Professor Magnus Rattray 
mahesh-marina,Verification; Identity management; Computing networks; Communications; Parallel computing; Operating systems; Robotics; Applications (Machine learning); ,Mahesh Marina is a Professor in the School of Informatics at the University of Edinburgh; where he also currently serves as the Director of the Institute for Computing Systems Architecture. Before joining Edinburgh in 2006; he had a two-year postdoctoral stint at the UCLA Computer Science Department. He received his PhD in Computer Science from the State University of New York at Stony Brook in 2004. He has previously held visiting researcher positions at ETH Zurich and at the Ofcom Headquarters in London. He is a Distinguished Member of the ACM and a Senior Member of the IEEE.; Prof Marina's research broadly falls in wireless networks; mobile systems; data privacy; applied machine learning and network security. His recent and on-going research focus is on various aspects of future 5G and beyond mobile networks (network slicing; spectrum sharing; universal access; cellular IoT; monitoring and analytics); mobile sensing and privacy. He is particularly interested in applications of machine learning towards service quality optimisation; automation and robustness of future network infrastructures.; ,Prof Marina's research broadly falls in wireless networks; mobile systems; data privacy; applied machine learning and network security. His recent and on-going research focus is on various aspects of future 5G and beyond mobile networks (network slicing; spectrum sharing; universal access; cellular IoT; monitoring and analytics); mobile sensing and privacy. He is particularly interested in applications of machine learning towards service quality optimisation; automation and robustness of future network infrastructures.; ,['N/A'],Professor Mahesh Marina 
maria-liakata,Natural language processing; Applications (Machine learning); ,Maria is an Associate Professor in Natural Language Processing (NLP) at the University of Warwick; Department of Computer Science. She is in receipt of a Turing AI fellowship award on Creating Time Sensitive Sensors from Language & Heterogeneous User-Generated Content (2019-2024). At the Alan Turing Institute she co-leads the NLP and data science for mental health interest groups and supervises PhD students. She is also leading projects which cover “Emotion sensing using heterogeneous mobile phone data”; “Language sensing for dementia monitoring & diagnosis” ; “Multi-modal processing for bipolar diagnosis” and “Opinion summarisation from social media”. ; Maria has a DPhil from the University of Oxford on learning pragmatic knowledge from text.  Her work has contributed to advances in knowledge discovery from corpora; automation of scientific experimentation and automatic extraction of information from the scientific literature. She has published widely both in NLP and interdisciplinary venues. Past awards include an IBM Faculty Award for work on emotion sensing from heterogeneous mobile phone data; being a co-investigator on the EU Project PHEME; which studied the spread of rumours in social media (2014-2017) and an Early Career Fellowship from the Leverhulme Trust (2010-2013) on reasoning with scientific articles.  ; Natural language processing (NLP); NLP for social and biomedical applications; analysis of multi-modal and heterogeneous data and especially the development of personalised longitudinal language processing; opinion mining and summarisation; rumour verification; biological text mining; computational semantics; scientific discourse analysis.; ,Natural language processing (NLP); NLP for social and biomedical applications; analysis of multi-modal and heterogeneous data and especially the development of personalised longitudinal language processing; opinion mining and summarisation; rumour verification; biological text mining; computational semantics; scientific discourse analysis.; ,['N/A'],Dr Maria Liakata DPhil
maria-wolters,['N/A'],Maria's research focuses on supporting people with long-term conditions live rich and meaningful lives. She has a background in computational linguistics and speech science (PhD; 2000; University of Bonn); human-computer interaction; assistive technology; and eHealth; and a long-term interest in statistics.; Maria is interested in why people collect health data. In particular; missing data is often missing for a reason. This could be because the smartphone is out of battery; or because one has no energy left to complete a diary entry. She wanta to find patterns of missing data and describe them qualitatively and quantitatively in a way that leads to new insight - in other words; treating missingness as information.; ,Maria is interested in why people collect health data. In particular; missing data is often missing for a reason. This could be because the smartphone is out of battery; or because one has no energy left to complete a diary entry. She wanta to find patterns of missing data and describe them qualitatively and quantitatively in a way that leads to new insight - in other words; treating missingness as information.; ,['N/A'],Dr Maria Wolters 
mariarosaria-taddeo,['N/A'], ; Dr. Mariarosaria Taddeo Researcher – Oxford Internet Institute; University of Oxford and a Fellow at the Alan Turing Institute. Her recent work focuses mainly on the ethical analysis of cyber security practices and information conflicts. Dr. Taddeo is the 2010 recipient of the Simon Award for Outstanding Research in Computing and Philosophy and of the 2013 World Technology Award for Ethics. She is Co-Investigator; PETRAS Hub for Internet of Things; a EPSRC project and serves editor-in-chief of Minds & Machines; in the executive editorial board of Philosophy & Technology; and is the President of the International Association of Computing and Philosophy. ; Her area of expertise is Information and Computer Ethics; although she has worked on issues concerning Philosophy of Information; Epistemology; and Philosophy of AI. She published several papers focusing on online trust; cyber security and cyber warfare and guest-edited a number of special issues of peer-reviewed international journals: Ethics and Information Technology; Knowledge; Technology and Policy; Philosophy & Technology. She also edited (with L. Floridi) a volume on ‘The Ethics of Information Warfare’ (Springer; 2014) and is currently writing a book on ‘The Ethics of Cyber Conflicts’ under contract for Routledge.; ,Her area of expertise is Information and Computer Ethics; although she has worked on issues concerning Philosophy of Information; Epistemology; and Philosophy of AI. She published several papers focusing on online trust; cyber security and cyber warfare and guest-edited a number of special issues of peer-reviewed international journals: Ethics and Information Technology; Knowledge; Technology and Policy; Philosophy & Technology. She also edited (with L. Floridi) a volume on ‘The Ethics of Information Warfare’ (Springer; 2014) and is currently writing a book on ‘The Ethics of Cyber Conflicts’ under contract for Routledge.; ,['N/A'],Dr Mariarosaria Taddeo 
marika-taylor,Complexity (Algorithms); Dynamical systems & differential equations; Mathematical physics; Machine learning; Supervised learning; Mathematical modelling; Stochastic (Mathematical modelling); Monte Carlo methods; Information theory (Statistical methods & theory); Geometry & topology; ,Marika Taylor studied for a PhD at Cambridge under the supervision of Stephen Hawking. After postdoctoral research in Cambridge and Utrecht; she became a staff member at the Institute of Theoretical Physics at the University of Amsterdam. She moved to the University of Southampton in 2012; as part of the Southampton Theory Astronomy and Gravity (STAG) initiative. She is currently head of Applied Mathematics and Theoretical Physics at Southampton.  ; Marika Taylor works on a range of topics in mathematical physics; including quantum field theory; string theory; holography; black holes and quantum information. Holography is a relationship between gravitational theories (geometry and topology) and quantum theories in one less dimension. In recent years; holography has led of very deep connections between hitherto distinct areas of science. For example; the quantum properties of black holes link together geometry; machine learning and quantum error correction; one of the goals of this Turing fellowship will be to build links between the mathematical physics community and those working on machine learning. The mathematical modelling that arises in statistical physics also has many unexploited applications to real world problems. The interdisciplinary environment of Turing will be ideal for developing connections to important problems such as the mathematical modelling of migration. ; Elected to DJA; Dutch Royal Society; 2009.; Minerva prize of Dutch Physics Research Council; FOM; 2009.; Leader of CERN Gen-HET working group.; ,Marika Taylor works on a range of topics in mathematical physics; including quantum field theory; string theory; holography; black holes and quantum information. Holography is a relationship between gravitational theories (geometry and topology) and quantum theories in one less dimension. In recent years; holography has led of very deep connections between hitherto distinct areas of science. For example; the quantum properties of black holes link together geometry; machine learning and quantum error correction; one of the goals of this Turing fellowship will be to build links between the mathematical physics community and those working on machine learning. The mathematical modelling that arises in statistical physics also has many unexploited applications to real world problems. The interdisciplinary environment of Turing will be ideal for developing connections to important problems such as the mathematical modelling of migration. ; ,Elected to DJA; Dutch Royal Society; 2009.; Minerva prize of Dutch Physics Research Council; FOM; 2009.; Leader of CERN Gen-HET working group.; ,Professor Marika Taylor 
mark-freestone,Pattern recognition; Reinforcement learning; Probabilistic programming; Research methods; Social psychology; Uncertainty quantification; Causality; Probability; ,Mark Freestone is Senior Lecturer in the Centre for Psychiatry; Wolfson Institute for Preventive Medicine; Queen Mary University of London. He has a first class honors degree in Social and Political Sciences fromt the University of Cambridge; and gained his PhD in Applied Social Science from the University of Nottingham in 2005. His core research interests include: psychosocial treatment of mental health; particularly personality disorder; forensic mental health; the epidemiology of violence; clinical presentation and sub-types of psychopathy; and criminological research relating to prisons and prisoners.; Dr Freestone's work with the Turing will follow three work packages:; ,Dr Freestone's work with the Turing will follow three work packages:; ,['N/A'],Dr Mark Freestone 
mark-gilthorpe,Complexity (Algorithms); Data structures; Multi-agent systems; Neural networks; Databases; Visualisation (Computer systems & architectures); Applications (Machine learning); Deep learning; Deterministic (Mathematical modelling); Graph theory; Stochastic (Mathematical modelling); Research methods; Causality; Monte Carlo methods; Simulation; Time series; Modelling (Statistical methods & theory); ,Mark is Professor of Statistical Epidemiology in the School of Medicine and the Leeds Institute for Data Analytics (LIDA); and a Fellow of the Alan Turing Institute for Data Science and Artificial Intelligence. Trained as a mathematical physicist; Mark's driving interest centres on improving our understanding of the observable world through modelling. After his PhD; he spent time as a consultant data analyst before being recruited into academia. Mark has since fashioned a programme of interdisciplinary research that spans the gap between theoretical and applied data analytics; focusing particularly on modelling complexity and highlighting and solving common analytical problems in observational research. Mark's research and teaching interests have converged around the insights and utility of causal inference methods; and how these might be integrated with machine learning and AI; he is also a recognised expert in latent variable modelling and the analysis of longitudinal data. As Deputy Director for LIDA (Research and Innovation); Mark is especially keen on further developing and promoting the unique collaborative and cross-disciplinary opportunities provided by LIDA. As a Turing Fellow; Mark is actively engaging across the Turing network to promote the development and application of causal inference methods.; Mark is seeking to understand complex relationships between individuals within their natural environment through the development and application of observational methods; specifically through the integration of causal inference modelling and agent-based modelling. An example domain of this challenge is modelling patterns; causes and consequences of obesity within our society.Mark is also interested in ‘algorithmic explainability’ and the development of ‘smart AI’; i.e. the use of causal inference methodology to understand the workings; operations and consequences of machine learning and artificial intelligence. ; ,Mark is seeking to understand complex relationships between individuals within their natural environment through the development and application of observational methods; specifically through the integration of causal inference modelling and agent-based modelling. An example domain of this challenge is modelling patterns; causes and consequences of obesity within our society.Mark is also interested in ‘algorithmic explainability’ and the development of ‘smart AI’; i.e. the use of causal inference methodology to understand the workings; operations and consequences of machine learning and artificial intelligence. ; ,['N/A'],Professor Mark Gilthorpe 
mark-graham,['N/A'], ; Mark Graham is an Associate Professor at the Oxford Internet Institute. Mark’s research focuses internet geographies; digital work; and economic development. He is currently leading a European Research Council Starting Grant to lead a team to study 'knowledge economies' in Sub-Saharan Africa over five years.; Mark studies the intersections of geography and big online datasets. Specifically; this strand of work examines two broad questions: (1) what can we learn about volumes and types of online participation from different parts of the world? (e.g. why do we see higher rates of participation from some people/places and not others?); (2) we can we learn about the representation of physical phenomena from digital datasets? (e.g. what can the geography of digital phenomena; such as tweets about floods; tell us about physical phenomena; such as floods? etc.). He also leads an Oxford-based ‘incubator’ that focuses on the intersections between big data and human development.; ,Mark studies the intersections of geography and big online datasets. Specifically; this strand of work examines two broad questions: (1) what can we learn about volumes and types of online participation from different parts of the world? (e.g. why do we see higher rates of participation from some people/places and not others?); (2) we can we learn about the representation of physical phenomena from digital datasets? (e.g. what can the geography of digital phenomena; such as tweets about floods; tell us about physical phenomena; such as floods? etc.). He also leads an Oxford-based ‘incubator’ that focuses on the intersections between big data and human development.; ,['N/A'],Professor Mark Graham 
mark-kelson,Research methods; Statistical methods & theory; Causality; Modelling (Statistical methods & theory); ,Mark studied Mathematics and Statistics at University College Cork; before completing an MSc in Statistics there also. He studied for his PhD in Medical Statistics at Cardiff University before spending a decade as a clinical trials statistician in the Centre for Trials Research. Mark’s current role is Senior Lecturer in Data Science in the Mathematics department of the University of Exeter. ; Mark is interested in using data science for health. He particularly focusses on physical activity and mental health. He finds accelerometry data interesting. In addition; he is interested in clinical trials and how data science can help make them more efficient. ; ,Mark is interested in using data science for health. He particularly focusses on physical activity and mental health. He finds accelerometry data interesting. In addition; he is interested in clinical trials and how data science can help make them more efficient. ; ,['N/A'],Dr Mark Kelson 
mark-mon-williams,Control theory; Neuroscience; Systems theory; Databases; Human computer interface; Reinforcement learning; Cognitive science; Data science of government & politics; Uncertainty quantification; Probability; ,Professor Mark Mon-Williams (MMW) holds a Chair in Cognitive Psychology at the University of Leeds; and is Professor of Psychology at the Bradford Institute of Health Research and Professor of Paediatric Vision at The Norwegian Centre for Vision. 25 years ago; MMW made fundamental contributions to our understanding of the sensorimotor impact of Virtual Reality (work that was headline news around the world).; He is Director of the Centre for Immersive Technologies at the University of Leeds. MMW is Director of the Centre of Applied Education Research (a partnership between the Universities of Leeds and Bradford together with the Department for Education; the Education Endowment Foundation; and the Bradford Local Authority) – a multidisciplinary Centre based at the Bradford Royal Infirmary. MMW leads a research group that use their fundamental scientific contributions to address applied issues within surgery; rehabilitation and childhood development and he has responsibility for ensuring societal impact arises from research conducted within the University of Leeds' Faculty of Medicine and Health.; MMW leads the NHS CLAHRC committee responsible for 'Identifying and Supporting Children with Difficulties'; and is an executive member of the Born in Bradford project (a longitudinal cohort study following the lifelong development of 13;500+ children). His research is funded by a number of organisations including the EPSRC; EEF; MRC and ESRC. MMW is a Founder Member of the Priestley Academy Trust (a multiple academy trust that includes the first school known to provide free meals to children); and sits on the Bradford Opportunity Area partnership board.; MMW’s Turing based research builds on a recently awarded Medical Research Council Mental Health Data Pathfinder grant (£1.5 Million) that is linking two large cohort datasets (the Avon Longitudinal Study of Parents and Children and Born in Bradford) in order to explore ways of decreasing the incidence of mental health problems. The goal is to create generative models that can better predict the childhood risk factors for mental health problems. The data analytic and artificial intelligence expertise within the Turing Institute will help ensure this project ‘revolutionises healthcare’. ; A key mental health challenge is the effective early identification of children at risk of a mental health problem; so that early intervention may prevent future disability. Linked to this is the challenge of identifying factors that protect some children from developing mental illness; despite experiencing extreme adversity (including adverse events that lead to public care). Better understanding of these issues could empower service providers (including schools; health and social care services) to support children better; and mitigate the risk of children developing mental health problems. Risk prediction is improved by greater availability of relevant information which can also help reduce bias associated with single measures. ; We are in the process of linking education; health and social care data; including data on receipt of public care; with study data to identify risk and protective factors. This work opens up the possibility of producing powerful predictive models that can improve our understanding of how underlying factors influence the probability of mental ill health.; ,MMW’s Turing based research builds on a recently awarded Medical Research Council Mental Health Data Pathfinder grant (£1.5 Million) that is linking two large cohort datasets (the Avon Longitudinal Study of Parents and Children and Born in Bradford) in order to explore ways of decreasing the incidence of mental health problems. The goal is to create generative models that can better predict the childhood risk factors for mental health problems. The data analytic and artificial intelligence expertise within the Turing Institute will help ensure this project ‘revolutionises healthcare’. ; A key mental health challenge is the effective early identification of children at risk of a mental health problem; so that early intervention may prevent future disability. Linked to this is the challenge of identifying factors that protect some children from developing mental illness; despite experiencing extreme adversity (including adverse events that lead to public care). Better understanding of these issues could empower service providers (including schools; health and social care services) to support children better; and mitigate the risk of children developing mental health problems. Risk prediction is improved by greater availability of relevant information which can also help reduce bias associated with single measures. ; We are in the process of linking education; health and social care data; including data on receipt of public care; with study data to identify risk and protective factors. This work opens up the possibility of producing powerful predictive models that can improve our understanding of how underlying factors influence the probability of mental ill health.; ,['N/A'],Professor Mark Mon-Williams 
mark-sandler,Human computer interface; Information retrieval; Deep learning; Social media; ,Mark Sandler is Professor of Signal Processing at Queen Mary University of London; and is also Director of the Centre for Digital Music. He gained a BSc (Hons) in Electronic Engineering from University of Essex in 1978; following that with a PhD; also from Essex in 1983 on digital audio power amplification.; His first academic post was as Lecturer in Telecommunications in the Department of Electronic Engineering at King's College London; under the headship of Professor Charles Turner; FREng. He was Director of Research; then gained a personal Chair in Signal Processing before becoming Head of Department. He left KCL in 2001 to take up a chair at Queen Mary; where he founded the Centre for Digital Music.; He was Head of School of Electronic Engineering and Computer Science from 2010-2014 and founding Director of the Centre for Doctoral Training in Media and Arts Technology from 2009 to 2016. He has won grants as PI with a total value in excess of £20M; has graduated around 40 PhD students and has published nearly 400 papers. As a Fellow of the Royal Academic of Engineering; he sits on its Research Committee and Membership Committee.; The goal of Mark's research at the Turing is to bring together the worlds of data science and music. To that end; an agreement to compute music-audio features on a massive scale is in place with Deezer; a French music streaming service. This will provide the raw; music-feature data with which to work. The intention is to compare the outcomes from the use of deep learning; statistical analysis and graph theoretic approaches; applied to music collection navigation.; ,The goal of Mark's research at the Turing is to bring together the worlds of data science and music. To that end; an agreement to compute music-audio features on a massive scale is in place with Deezer; a French music streaming service. This will provide the raw; music-feature data with which to work. The intention is to compare the outcomes from the use of deep learning; statistical analysis and graph theoretic approaches; applied to music collection navigation.; ,['N/A'],Professor Mark Sandler 
mark-steedman,['N/A'],Mark Steedman is Professor of Cognitive Science in the School of Informatics at the University of Edinburgh. Previously; he taught as Professor in the Department of Computer and Information Science at the University of Pennsylvania; which he joined as Associate Professor in 1988. His PhD in Artificial Intelligence is from the University of Edinburgh. He is a Fellow of the Association for the Advancement of Artificial Intelligence; the British Academy; the Royal Society of Edinburgh; the Association for Computational Linguistics; and the Cognitive Science Society; and a Member of the European Academy.; His research interests cover issues in computational linguistics; artificial intelligence; computer science and cognitive science; including syntax and semantics of natural language; wide-coverage parsing and open-domain question-answering; comprehension of natural language discourse by humans and by machine; grammar-based language modeling; natural language generation; and the semantics of intonation in spoken discourse. Much of his current NLP research is addressed to probabilistic parsing and robust semantics for question-answering using the CCG grammar formalism; including the acquisition of language from paired sentences and meanings by child and machine. He sometimes works with colleagues in computer animation using these theories to guide the graphical animation of speaking virtual or simulated autonomous human agents. Some of his research concerns the analysis of music by humans and machines.; Mark is a Turing Fellow through his supervision of Javad Hosseini; a doctoral student at the Turing.; ,His research interests cover issues in computational linguistics; artificial intelligence; computer science and cognitive science; including syntax and semantics of natural language; wide-coverage parsing and open-domain question-answering; comprehension of natural language discourse by humans and by machine; grammar-based language modeling; natural language generation; and the semantics of intonation in spoken discourse. Much of his current NLP research is addressed to probabilistic parsing and robust semantics for question-answering using the CCG grammar formalism; including the acquisition of language from paired sentences and meanings by child and machine. He sometimes works with colleagues in computer animation using these theories to guide the graphical animation of speaking virtual or simulated autonomous human agents. Some of his research concerns the analysis of music by humans and machines.; Mark is a Turing Fellow through his supervision of Javad Hosseini; a doctoral student at the Turing.; ,['N/A'],Professor Mark Steedman 
markus-brede,Dynamical systems & differential equations; Multi-agent reasoning; Control theory; Game theory; Mathematical modelling; Dynamic/static (Mathematical modelling); Graph theory; Social networks; Monte Carlo methods; Simulation; ,Markus Brede is an associate professor of computer science at the University of Southampton. After receiving a PhD in theoretical physics at the university of Leipzig (Germany) he has worked as a postdoctoral researcher and later research scientist at the Complex Systems Science group at Atmospheric Research of CSIRO (Australia) and then joined the Agents; Interaction; and Complexity group of ECS at the university of Southampton.; The main focus of his research is on theoretical work on the structure and dynamics of complex networks and interdisciplinary applications of network science and dynamical systems.  Examples of past work range from theoretical work on optimal network configurations subject to various constraints; synchronization of non-linear oscillators; evolutionary game theory; and network control in relation to spreading processes on networks. Previous applied work has spanned various disciplines; with recent work on; e.g.;  the game theory of climate change; coupling models of economic and climate dynamics; dynamical systems modeling of historical societies; the stability of ecological systems; banking regulation; network models of language learning; and the modeling of consensus formation in social systems.; ,The main focus of his research is on theoretical work on the structure and dynamics of complex networks and interdisciplinary applications of network science and dynamical systems.  Examples of past work range from theoretical work on optimal network configurations subject to various constraints; synchronization of non-linear oscillators; evolutionary game theory; and network control in relation to spreading processes on networks. Previous applied work has spanned various disciplines; with recent work on; e.g.;  the game theory of climate change; coupling models of economic and climate dynamics; dynamical systems modeling of historical societies; the stability of ecological systems; banking regulation; network models of language learning; and the modeling of consensus formation in social systems.; ,['N/A'],Dr Markus Brede 
martin-neil,Cognitive science; Uncertainty quantification; Causality; Simulation; Probability; ,"Martin Neil is a Professor in Computer Science and Statistics in Queen Mary; University of London. His research interests cover Bayesian modelling and risk quantification in diverse applied areas. At Queen Mary he teaches decision and risk analysis in the School for Electronic Engineering and Computer Science. Professor Neil is also a joint founder of Agena Ltd; who develop and distribute AgenaRisk; a software product for modelling risk and uncertainty using probabilistic modelling and AI methods. Professor Neil was a fellow at the Isaac Newton Institute for Mathematical Sciences; Cambridge University in 2016 on Probability and Statistics in Forensic Science.; Professor Neil experience in applying Bayesian methods to real problems has convinced him that intelligent risk assessment and decision analysis requires knowledge and data. Not just ""Big Data"". Typically; this involves analysing and predicting the probabilities of unknown events using Bayesian statistical methods including causal; probabilistic models (Bayesian networks). In addition to working on theoretical and algorithmic foundations; this work covers a wide range of application domains such as medical analytics; legal reasoning; embedded software; operational risk in finance; systems and design reliability (including software); project risk; commercial risk; decision support; cost benefit analysis; AI and personalization; machine learning; legal argumentation and cyber security.; Professor Neil has consulted or provided training to many organisations including General Electric; Milliman LLC; Mastercard; AIB bank; Philips; NATS; QinetiQ; DSTL (UK MOD); AON; Royal Bank of Canada; TNO (the Netherlands); BHP Billiton and ICRAF (The World Agroforestry Centre) and more. Professor Neil's book Risk Assessment and Decision Analysis with Bayesian Networks ; co-authored with Professor Norman Fenton; covers the majority of his work on Bayesian networks theory and applications. It was picked up some rather good reviews on Amazon.; ","Professor Neil experience in applying Bayesian methods to real problems has convinced him that intelligent risk assessment and decision analysis requires knowledge and data. Not just ""Big Data"". Typically; this involves analysing and predicting the probabilities of unknown events using Bayesian statistical methods including causal; probabilistic models (Bayesian networks). In addition to working on theoretical and algorithmic foundations; this work covers a wide range of application domains such as medical analytics; legal reasoning; embedded software; operational risk in finance; systems and design reliability (including software); project risk; commercial risk; decision support; cost benefit analysis; AI and personalization; machine learning; legal argumentation and cyber security.; Professor Neil has consulted or provided training to many organisations including General Electric; Milliman LLC; Mastercard; AIB bank; Philips; NATS; QinetiQ; DSTL (UK MOD); AON; Royal Bank of Canada; TNO (the Netherlands); BHP Billiton and ICRAF (The World Agroforestry Centre) and more. Professor Neil's book Risk Assessment and Decision Analysis with Bayesian Networks ; co-authored with Professor Norman Fenton; covers the majority of his work on Bayesian networks theory and applications. It was picked up some rather good reviews on Amazon.; ",['N/A'],Professor Martin Neil 
martin-weidner,Graph theory; Social networks; High dimensional inference; Non-parametric & semi-parametric methods; Asymptotic (Statistical methods & theory); Estimation theory; ,Martin is an Associate Professor in the Economics Department at UCL. He gained an Economics PhD from the University of Southern California in 2011; and a Physics PhD from the University of Hamburg in 2006.; Martin's primary research field is econometrics; with a special focus on the analysis of longitudinal data and social networks. His work is in particularly concerned with high-dimensional statistical problems that arise in the analysis of microeconomic data. His research on social networks combines methods from statistics and graph theory; and explores new connections between those two fields.; ,Martin's primary research field is econometrics; with a special focus on the analysis of longitudinal data and social networks. His work is in particularly concerned with high-dimensional statistical problems that arise in the analysis of microeconomic data. His research on social networks combines methods from statistics and graph theory; and explores new connections between those two fields.; ,['N/A'],Dr Martin Weidner 
marya-bazzi,['N/A'],Marya received her PhD in Applied Mathematics from Oxford University in 2016. Her thesis focused on clustering in time-dependent networks. Before joining the Turing she was a postdoctoral scholar at Oxford University and Head of Analytics at a London-based FinTech. Marya is particularly interested in developing research projects at the interface between academia and industry.  ; Marya is interested in developing models and algorithms to extract and/or recover information from large time-dependent data sets. She is equally interested in applying such tools to real-world problems in areas such as Sociology; Psychology; Biology; and Finance. Areas of particular interest are clustering; time-dependent networks; multilayer networks; stochastic block models (e.g.; used as generative models for interdependent “mesoscale” structure); matrix completion; graph sparsification; combinatorial optimisation and spectral optimisation. Areas she plans to further explore are statistical learning and natural language processing. Key to her approach is interdisciplinary research and close collaboration with industry.; ,Marya is interested in developing models and algorithms to extract and/or recover information from large time-dependent data sets. She is equally interested in applying such tools to real-world problems in areas such as Sociology; Psychology; Biology; and Finance. Areas of particular interest are clustering; time-dependent networks; multilayer networks; stochastic block models (e.g.; used as generative models for interdependent “mesoscale” structure); matrix completion; graph sparsification; combinatorial optimisation and spectral optimisation. Areas she plans to further explore are statistical learning and natural language processing. Key to her approach is interdisciplinary research and close collaboration with industry.; ,['N/A'],Dr Marya Bazzi 
